a-descriptionID,type,title,text,reply_list,reply_list2,reply_list3
d20000,text,,一陣天旋地轉後，您來到了一個陌生的地方。,,,
d20001,text,,甫未睜開眼睛時，您就感受到了一股熱浪般的氣息向您襲來。,,,
d20002,text,,您站穩腳跟，只見兩隻蝙蝠怪獸，正拍打著巨大的翅膀盯著您看。,,,
d20003,confirm,,您：,r20000,r20001,
d20004,text,,"【蝙蝠守衛】：
勇者 $username 您好，別怕，我們是這裡的守衛，不會吃人的。現今情勢嚴峻，我們馬上去找山羊胡大人吧。",,,
d20005,text,,蝙蝠守衛邁著巨大的步伐往遠方的城堡前進，您只能小跑步地跟上他們。,,,
d20006,text,,沿途走去，您仔細看了看妖魔領地的周圍。首先映入眼簾的，是一大片的暗紅色天空。遠處的眾多山脈，時不時迸發出岩漿。周圍的地面寸草不生，隱隱然開始龜裂。在您走動時，甚至還感受到了些微的地震。,,,
d20007,Image,紅色天空,https://dlms.iiiedu.org.tw/eng/img/d20007.png,,,
d20008,text,,越靠近城堡，您看見越來越多的妖魔正攜家帶眷往城堡處移動，耳邊也不時傳來嬰兒的啼哭聲。這一切，似乎讓你感受到末日的來臨。,,,
d20009,confirm,,您覺得：,r20002,r20003,
d20010,text,,您與蝙蝠守衛終於走到了城堡。城堡的外觀看起來十分恢弘，然而城堡上方的柱子卻冒著巨大的黑煙，許多人正積極地用泥沙去滅火，但似乎收效甚微。,,,
d20011,text,,蝙蝠守衛領著您進入城堡內部，有一名羊頭人身正忙著處理公務，看見您進來後，臉上露出喜色。,,,
d20012,text,,"【Faun】：
勇者 $username 您好，歡迎您來到妖魔領地。我是這裡的謀士山羊胡，您也可以叫我 Faun。
在來的路上，您應該也看見了我們領地的情況。三天前，我們遭受了可怕的襲擊。鄰國的一隻鳳凰突然暴走， 來到我們的領地內進行攻擊，除了摧毀了許多的村落之外，也把我們妖魔領地的命脈——水之晶鑽給打碎了。",,,
d20013,text,,Faun吞了吞口水，搖了搖頭，繼續說道：,,,
d20014,text,,"【Faun】：
我們的領地周圍皆是火山，有了水之晶鑽後，我們才得以開墾農地，在這個地方有著正常人的作息。失去了這顆寶石，我們沒有了珍貴的水源，附近的水已經逐漸乾涸了，只有在城堡內部有著一些儲備的水，因此民眾才會往城堡遷徙。但我們的儲備無法供應給那麼多人，過了今天後就會正式用完。",,,
d20015,confirm,,您：,r20004,r20005,
d20016,text,,"【Faun】：
水之晶鑽被打碎後，成為了水滴型的藍水晶，散落在我們的領地周圍。我們聘僱勇者，就是想要請您幫忙尋找四散的藍水晶。我們的民眾已經收集了一部分的水晶，但由於領地太大，大家又遇到了重重困難，且天氣實在太炎熱了，因此只好請您幫忙將剩餘的水晶都收集起來。",,,
d20017,confirm,,您：,r20006,r20007,
d20018,text,,"【Faun】：
太好了！事不宜遲，我們就出發吧！我會派我的得力助手 Keith 來幫助您！",,,
d20019,text,,一隻背後有個駝峰的獨眼巨人，拿著狼牙棒，正傻愣愣地站在一旁對您揮手微笑。,,,
d20020,text,,"【Faun】：
他看起來雖然十分嚇人，但心地善良，對領地十分熟悉，也對所有的人事物都十分照顧，因此也獲得大家的喜愛。他的駝峰能夠儲存水分，所以是我們現今最有能力的助手！",,,
d20021,text,,Keith 憨憨一笑，隨手揮著狼牙棒，不小心把旁邊的柱子打出了一個洞。,,,
d20022,confirm,,您覺得Keith：,r20008,r20009,
d20023,text,,"【Faun】：
……他只是稍微粗心了一些，您就多多體諒他吧。我接下來還需要處理一些公務，事不宜遲，你們出發吧！希望能在傍晚前收到好消息，麻煩你們了！",,,
d20024,text,,您與Keith 走到了門口，開啟了你們的旅程……,,,
d200**,text,,"（第$count 題）
【Keith】：
勇者$username ，現在是 8:00，Faun 希望我們在傍晚18:00前完成。",,,
d20100,text,,夜幕低垂，您拖著疲憊的身軀與 Keith一同回到了城堡內。,,,
d20101,text,,"【Keith】：
呼…… 勇者，今天多虧有你，辛苦了！希望我們收集到足夠的水晶！",,,
d20102,confirm,,您：,r20100,r20101,
d20103,text,,您與 Keith 見到了 Faun，Faun 懷著忐忑的心帶你們到一間巨大的房門外。您在門外就聽見了裡面傳出「呼嚕……呼嚕嚕」的巨大鼾聲。,,,
d20104,text,,門一打開，您看見一隻紅色巨龍正盤著一根大石柱在沉睡，並流著一灘口水。,,,
d20105,Image,紅色巨龍,https://dlms.iiiedu.org.tw/eng/img/d20105.png,,,
d20106,confirm,,您感到：,r20102,r20103,
d20107,text,,"【Faun】：
他就是我們的領主大人 Charles，三天前帶領村民們把鳳凰擊退。然而，由於他的體型過大，平常生活時需要大量的水，因此現今他只能暫時沉睡，以節省水源。",,,
d20108,text,,Charles 在此時搖了搖頭，鼻腔中吐出了些許火息，並用嘶啞的聲音說出些微囈語。,,,
d20109,text,,"【Charles】：
「水……水……」",,,
d20110,confirm,,您感到：,r20104,r20105,
d20111,text,,Faun 帶領您到房間內，只見桌上已有一些殘缺的藍水晶。您把收集到手的藍水晶掏出來，交到 Faun 的手上。,,,
d20112,text,,"【Faun】：
就讓我們看看您所收集的藍水晶，是否足夠讓水之晶鑽恢復原形吧……",,,
d20200,text,,Faun 將剩餘的水晶放在桌上，腳步循著八角星的方位不斷來回，口中念念有詞。最後，Faun 大聲地念出了一句咒語。,,,
d20201,text,,"【Faun】：
Aquamenti! ",,,
d20202,text,,桌上的水晶原本只呈現淡淡的藍色，在Faun念出了此咒語後，四散的水晶突然開始攏聚在一處，變成了一顆水滴型的藍水晶，不斷地旋轉，閃耀著明亮的藍色。,,,
d20203,text,,藍水晶凝聚成形後，飛到了城堡上，並緩緩地降落在柱子上。在降落的那一剎那，水晶突然迸發萬丈光芒，一直到領地的最角落。,,,
d20204,text,,領主 Charles 感受到了領地的變化，耳朵抽動了一下，眼睛緩緩地睜開。,,,
d20205,text,,"【Faun】：
領主大人！在您眼前的是勇者 $username ，是他收集了足夠的藍水晶，才把水之晶鑽凝聚起來的！",,,
d20206,text,,Keith 在旁邊不斷傻笑，遠處傳來民眾歡欣鼓舞的吶喊聲，大家都正在高喊著您的名字。,,,
d20207,text,,"【Charles】：
原來是這樣啊…… 看來，我們瑟賽斯大陸出現了一個了不得的人物啊。",,,
d20208,confirm,,您此時覺得：,r20200,r20201,
d20209,text,,"【Charles】：
那，作為報答，我讓你在我的背上遨遊一番吧！",,,
d20210,text,,您踏上了 Charles 寬闊的背部，Charles 翅膀一拍，就竄上了遠處的高空中。,,,
d20211,text,,您從天空往下看，只見青翠的綠地正迅速地朝領地四周不斷擴散；在水源的滋潤下，樹木以不可思議的速度成長為參天大樹；植物的回歸也吸引了許多動物的歸來，眾多的鳥類與昆蟲正嘰嘰喳喳地講述這幾天的災難。,,,
d20212,text,,妖魔領地從一片死氣沉沉的氛圍，恢復到了清新，自然的生態。您看著這一切事物，感受到了歲月靜好。,,,
d20300,text,,Faun 將剩餘的水晶放在桌上，腳步循著八角星的方位不斷來回，口中念念有詞。最後，Faun 大聲地念出了一句咒語。,,,
d20301,text,,"【Faun】：
Aquamenti! ",,,
d20302,text,,桌上的水晶原本只呈現淡淡的藍色，在Faun念出了此咒語後，四散的水晶緩緩地攏聚在一處，然而卻遲遲未能成型。,,,
d20303,text,,"【Faun】：
啊……看來是收集的水晶不夠啊。",,,
d20304,confirm,,您感到：,r20300,r20301,
d20305,text,,"【Faun】：
沒關係，我們還有一天的水源，明天以前還會有希望的！",,,
d20306,text,,突然，領主 Charles 緩緩睜開雙眼，看著桌上的水晶後看向您。,,,
d20307,text,,"【Charles】：
你應該是冒險者公會所派來的勇者吧。失敗了沒關係，水之晶鑽也不是你打破的。盡力了就好吧。",,,
d20308,text,,您望向遠方依舊火紅的天空，心中滿是苦澀。,,,
d20400,text,,您望向窗外，夜幕低垂、燈火闌珊。是時候該離開了。,,,
d20401,text,,"【Charles】：
天色也晚了，謝謝你今天的幫忙。護衛們，麻煩你們送勇者了。",,,
d20402,text,,"【Faun】：
勇者 $username ，希望您有機會還能過來哦！",,,
d20403,text,,"【Keith】：
勇者，很高興認識您！",,,
d20404,confirm,,您決定：,r20400,r20401,
d20405,text,,蝙蝠護衛護送您到到傳送陣前，您向他們揮一揮手，離開了妖魔領地。,,,
d20406,text,,隨著傳送陣啟動，您想到今天所遇到的人事物，不禁發出會心一笑。您決定以後一定會再回來，真正體驗這美麗的領地……,,,
d20500,text,,"【Keith】：
勇者 $username ，等等！",,,
d20501,text,,您轉過身，看見Keith正急急向您跑來。,,,
d20502,text,,"【Keith】：
今天能夠與您一同去收集水晶，對我來說是個不可多得的經驗，真的很謝謝您！為了報答您，請你收下我的小小心意！",,,
d20503,text,,Keith 將一個盒子遞給您，裡面是一片精緻的四葉草。,,,
d20504,text,,"【Keith】：
這片四葉草在缺乏水源的情況下，還能夠頑強地生長，我希望您能夠擁有牠，作為您來到妖魔領地的珍貴回憶！",,,
d20505,confirm,,您：,r20500,r20501,
d20506,text,,您揮揮手，轉頭踏上傳送陣，滿足地離開。,,,
d21000,text,,您與 Keith 走在城堡外部，看著人們有秩序地走向城堡內，祈望得以盡快喝到一口水。,,,
d21001,text,,"【？？？】：
嗚嗚嗚——",,,
d21002,confirm,,您轉過身，看見一個小女孩在哭泣。您……,r21000,r21001,
d21003,text,,"【Keith】：
咳咳！勇者您不用擔心，她是賣水果一家的妖精小孩 Lily，其實她常常這樣的。",,,
d21004,confirm,,您覺得 Lily……,r21002,r21003,
d21005,text,,"【Lily】：
為什麼我總是不會寫？我明明都記得啊嗚嗚嗚——",,,
d21006,text,,"【Keith】：
勇者，是這樣的。Lily是一名妖精學徒，但她每次都忘記剛學的咒語要怎麼寫。
其實她都知道怎麼念、但就是不會寫，所以常常被她師父唸。
她師父發火起來真的很恐怖……",,,
d21007,confirm,,您想要……,r21004,r21005,
d21008,text,,Lily抬起頭，水汪汪的大眼緊盯著您和 Keith。,,,
d21009,text,,"【Lily】：
Keith！你帶救星來幫我了嗎？",,,
d21010,text,,"【Keith】：
呃、Lily你好，為你介紹一下這是勇者$username，我們現在在任務中。",,,
d21011,text,,"【Lily】：
原來是你是勇者嗎？那你是不是很厲害，可以幫我把咒語裡的一個單字寫出來？師父說，只要我學會所有咒語，我就有機會拯救妖魔領地！",,,
d21012,text,,看著Lily期盼的眼神，您總覺得好像難以拒絕她熱切的期盼...,,,
d21013,confirm,,您決定……,r21006,r21007,
d21014,text,,"【Lily】：
真是太好啦！果然是熱心的勇者～
那我來唸給您聽！",,,
d21015,text,,說完，Lily便唸出了一個英文單字...,,,
d21100,text,,"【Lily】：
哇！好像就是這樣寫欸！果然是最厲害的勇者～
終於可以好好記錄下來了！我以後一定要像您一樣，拯救妖魔領地！",,,
d21101,text,,剛才還鬱鬱寡歡的 Lily馬上破涕為笑，看來您真的幫了她許多呢！,,,
d21102,text,,"【Lily】：
雖然我只是一個小小學徒、身上沒有什麼值錢的東西，但為了感謝勇者，請您收下我昨天在路邊撿的小玉石吧！這麼漂亮的東西我平常可是捨不得送人的呢！",,,
d21103,confirm,,您決定……,r21100,r21101,
d21104,text,,Lily匆忙地將一枚閃著亮麗色澤的藍色水晶遞給您，在陽光的照射下，水晶散發出一種無可取代的魔幻感。,,,
d21105,image,藍水晶,https://dlms.iiiedu.org.tw/eng/img/d21105.png,,,
d21106,text,,"【Keith】：
勇者$username！就是牠！",,,
d21107,confirm,,您說……,r21102,r21103,
d21108,text,,"【Keith】：
是的！我一定不會認錯！這就是我們在找的藍水晶。",,,
d21109,text,,"【Lily】：
原來這是你們的任務內容啊？真開心我也幫到你們了～",,,
d21110,confirm,,您說……,r21104,r21105,
d21111,text,,"【Keith】：
真是太好了！
不過Lily，因為我們時間有限，勇者 $username 和我還是趕緊上路、繼續尋找任務好了！",,,
d21112,text,,"【Lily】：
好呀！我也繼續複習了，祝你們任務順利！",,,
d21200,text,,"【Lily】：
疑...怎麼覺得有點奇怪...",,,
d21300,text,,"【Lily】：
好像不是欸... 
沒關係，我再去找其他人幫忙，你們繼續進行任務吧！",,,
d22000,text,,您與 Keith 先從城堡周圍開始搜索，來到了城堡曾經的花園中。原本的一地翠綠，如今開始荒蕪；植物在失去水分的滋潤下，逐漸枯萎。曾經盛放在花園內的紅白玫瑰，如今也開始凋零。,,,
d22001,text,,您與 Keith 各自運用自己的方式來翻找藍水晶，企圖將所有的落葉與花瓣都翻過來。由於您的魔法有限，因此只能一片片地去尋找；Keith 則使用他的狼牙棒將落葉與花瓣都掃清。在數公頃大的花園當中，你們所作的一切看起來是那麼地渺小。,,,
d22002,text,,然而，您與 Keith 秉持著鍥而不捨的精神，不放過一絲一毫的機會，企圖從中找出那一閃藍色的光芒。但在找尋了一段時間後，你們仍一無所獲。,,,
d22003,text,,"【？？？】：
你們在找什麼？",,,
d22004,text,,"低沉的聲音從後方傳來，您和Keith倏地回過頭。
原先無其他外人的花園中，有一隻半人馬噠噠地走向你們。",,,
d22005,confirm,,您想說……,r22000,r22001,
d22006,text,,半人馬以深邃的目光看著您，並未回答您的問題。您感覺自身的靈魂似乎都要被看穿了。,,,
d22007,text,,"【Keith】：
Athanandros您好，我是領主的助手，我叫Keith。",,,
d22008,text,,"【Athanandros】：
嗯我看過你，Keith。我是Athanandros，是這個花園的掌管者。
你們是在找什麼嗎？",,,
d22009,text,,"【Keith】：
我們正在尋找水之晶鑽的碎片，我們要把散落在各地的藍水晶找回來。",,,
d22010,text,,Athanandros 一怔。作為花園的掌管者，看著植物逐漸失去生命與靈魂，是他最大的遺憾。,,,
d22011,text,,"【Athanandros】：
前幾日我似乎看到一抹藍光飛向那個方向。但由於當天我也參與了抵抗鳳凰的戰爭，因此我不確定方向是否正確。",,,
d22012,confirm,,您想說……,r22002,r22003,
d22013,text,,"【Keith】：
我也覺得有點像藍水晶。",,,
d22014,confirm,,您想說……,r22004,r22005,
d22015,text,,Athanandros的脖子微微地動了一下，說道：,,,
d22016,text,,"【Athanandros】：
你仔細聽好接下來要走的方向——",,,
d22100,text,,您與 Keith 聽清了 Athanandros 所說的方向，一路朝那個方向奔跑。,,,
d22101,text,,在踩踏了無數的落葉與花瓣後，你們逐漸放緩腳步，仔細在各處尋找。,,,
d22102,text,,您定睛一看，右前方的花瓣叢的陰影中有一絲絲亮光。,,,
d22103,confirm,,您想說……,r22100,r22101,
d22104,text,,"【Keith】：
呼～終於找到了，真好！",,,
d22105,text,,您決定……,r22102,r22103,
d22106,text,,"您與Keith看著眼前的水晶，舒心地吐了口氣。
隨後，你們朝著剛才前來的方向走回去。",,,
d22107,text,,Athanandros還停留在原地，似乎期盼著你們的到來。他開口向你們詢問。,,,
d22108,text,,"【Athanandros】：
找到了嗎？",,,
d22109,confirm,,您說……,r22104,r22105,
d22110,text,,"【Athanandros】：
那就好，不用謝。這是我作為花園管理者，應盡的基本責任。",,,
d22111,text,,"Athanandros再度深深地望著您，微微頷首。
他不等你們作出任何回應，也不再多說一句話，隨即轉過身，踏著噠噠的馬蹄聲逐漸遠去。",,,
d22200,text,,您與Keith跟隨著自己聽到的方向前去，但找了很久仍然不見藍水晶的蹤跡。,,,
d22201,text,,你們回到半人馬的面前，一臉困惑。,,,
d22202,text,,"【Athanandros】：
找到了嗎？",,,
