a-descriptionID,type,title,text,reply_list,reply_list2,reply_list3
d22203,confirm,,您想說……,r22200,r22201,
d22204,text,,"【Athanandros】：
不然我再念一次，你檢查一下剛剛是不是走錯路。",,,
d22300,text,,您與Keith再次跟隨著自己聽到的方向前去，但在大片的落葉與花瓣當中，依然不見藍水晶的蹤跡。,,,
d22301,text,,你們回到半人馬的面前，面色不佳。,,,
d22302,text,,"【Athanandros】：
還是沒看到嗎？",,,
d22303,text,,Keith抓抓頭，說道：,,,
d22304,text,,"【Keith】：
是的，Athanandros，連發亮的東西都沒看到。",,,
d22305,text,,"【Athanandros】：
或許是我當時看錯了吧！在兵荒馬亂當中，應該是我看錯了。",,,
d22306,confirm,,您覺得……,r22300,r22301,
d22307,text,,Athanandros 沉默地望著您，眼神透露出些許失望。,,,
d22308,text,,"【Athanandros】：
花園沒有，祝你們能在其他地方找到了。",,,
d22309,text,,語畢，他的身影穿越玫瑰與薔薇的花叢中，緩緩消失在視野深處。,,,
d23000,text,,"您與 Keith 走在領地的城牆上，放遠望去，只見一片荒蕪。
巨大的灰色城堡矗立在正中央，讓曾經恢弘的城堡在如今一大片的紅色當中，看起來有些突兀。",,,
d23001,text,,"【Keith】：
如果藍水晶像城堡一樣，那麼顯眼地在我們的眼前就好了。",,,
d23002,confirm,,您想說……,r23000,r23001,
d23003,text,,"【Keith】：
從高處往下看，應該更容易看得到水晶發光吧！",,,
d23004,text,,"【？？？】：
唧唧——",,,
d23005,text,,"一個洪亮婉轉的鳥鳴在數公尺外的城牆上響起。
您定睛一看，一只嬌小的蜂鳥頂著招搖的彩色羽毛，在紅色天空的襯托下搖曳生姿。",,,
d23006,confirm,,您覺得牠...,r23002,r23003,
d23007,text,,"【Keith】：
真的很漂亮，那是我們領地中著名的魔法七彩蜂鳥。飛行速度很快，外觀也非常亮麗，在現在顯得特別顯眼。更厲害的是，牠具有吸引有魔力的特質喔！在只是現在牠正苦於缺水當中，積極地在尋找其他地方的水源。",,,
d23008,text,,"蜂鳥：
唧——",,,
d23009,text,,說時遲那時快，那隻色彩鮮豔的蜂鳥拍了拍翅膀，豐滿的羽翼下突然閃現藍色的光芒...,,,
d23010,confirm,,您想說……,r23004,r23005,
d23011,text,,Keith趕忙看了看那剛起飛的蜂鳥，倏地瞪大了眼。,,,
d23012,text,,"【Keith】：
對、對，那是！",,,
d23013,text,,您決定……,r23006,r23007,
d23014,text,,"【Keith】：
勇者您等等！您有沒有看到環繞在牠周圍的字？把牠叫住就可以讓牠停下來了！",,,
d23015,text,,您看了一下蜂鳥，牠的身邊浮現了淡淡的字跡...,,,
d23100,text,,"您一說完，那隻七彩蜂鳥動作一滯，隨即停下飛行的動作、落回地上。
牠回過頭、眨了眨眼，明亮的眼睛活潑動人。",,,
d23101,text,,Keith放鬆地吐了一口氣，隨即小心翼翼地向七彩蜂鳥走去。他蹲下身子，輕拂蜂鳥的羽翼，並輕輕翻開藏有藍水晶的羽翼。,,,
d23102,text,,您覺得……,r23100,r23101,
d23103,text,,"【Keith】：
幸好您在牠飛走前還來得及喊牠的名字，真的太好了！",,,
d23200,text,,"【Keith】：
咦，牠沒有停下來？是不是剛剛念不正確？要不要再試一次？",,,
d23300,text,,"【Keith】：
啊……",,,
d23301,text,,儘管您與Keith跟在蜂鳥的後面邊追邊喊，那隻蜂鳥卻帶著那枚藍水晶與你們的遺憾，展翅離去。,,,
d24000,text,,您與 Keith 仔細地在領地周圍尋找藍水晶，走到了領地中曾經最美麗的地方——「醉月湖」。,,,
d24001,text,,湖面上的水逐漸乾涸，曾經盛放的蓮花蓮葉也逐漸凋零，許多的魚蝦集中在為數不多的淺灘裡，只為了求一線生機。,,,
d24002,text,,然而，附近的妖魔小孩看到了這樣的景象後，卻願意為了這些魚蝦而犧牲一些自己的水，只為了讓池塘里的生物們能夠活得更久一些。大人們也並未阻止小孩們的做法，反而在旁邊教育小孩，該怎麼善於對待各類生物。您從他們的眼中，看出他們對於生命的尊崇與嚮往。雖然處在危急的時刻，但人們依然追求著真正美好的事物。,,,
d24003,confirm,,此刻，您：,r24000,r24001,
d24004,text,,突然，曾經的湖中央冒出了一個大型舞台，只見幾位美麗的人魚手上彈著豎琴，圍繞著一位體態優雅的人魚，緩緩地唱起歌。,,,
d24005,text,,"【Keith】：
這是我們領地內最著名的人魚樂隊，其中領唱者 Coralia更是遠近馳名。她的歌聲有著安定人心的作用，舒緩我們的情緒。在戰爭後，他們每天都會定時演唱一次，讓附近的民眾得以忘卻痛苦，更積極地面對接下來的人生。",,,
d24006,text,,Coralia 的歌聲悅耳動聽，讓周圍的人不知不覺向她靠攏。您與 Keith 也同樣被 Coralia 所吸引，緩緩地朝著她走去。,,,
d24007,text,,然而，Coralia 的歌聲也同時有催眠的作用，聽得越久，越讓人昏昏欲睡。就在此刻，似乎只有您聽見 Coralia 歌聲背後的一些聽不清，道不明的話語。,,,
d24008,confirm,,您想要：,r24002,r24003,
d24009,text,,"【Coralia】：
勇者啊勇者，如果您想要從我這邊得到什麼，請您務必聽清……",,,
d24010,text,,您仔細聽了聽Coralia 所說的話，發現到原來背後隱藏著這樣的訊息……,,,
d24100,text,,您聽懂了 Coralia 背後所說的話，腦袋一陣清醒。,,,
d24101,text,,Coralia 向您露出讚許的眼光，並取出了她手上的戒指，把牠交到您手上——原來戒指上，就有著您正在找的藍水晶。,,,
d24102,text,,您帶著依然迷糊的 Keith 走到遠處，在 Coralia 歌聲逐漸遠去後，Keith 猛然清醒。,,,
d24103,text,,"【Keith】：
咦？勇者 $username ，您什麼時候取得這塊藍水晶的呢？",,,
d24104,text,,您微笑不語，這是您與 Coralia 之間的秘密。,,,
d24200,text,,"【Coralia】：
勇者啊勇者，請專心傾聽，機不可失，失不再來……",,,
d24201,confirm,,您打算：,r24200,r24201,
d24202,text,,Coralia 的歌聲再度響起，您又陷入了魔幻的氛圍當中，企圖再仔細聽多一次……,,,
d24300,text,,您已竭盡所能，然而卻依然聽不清楚 Coralia 歌聲背後的話語。,,,
d24301,text,,您與 Keith 一路走到遠處，Coralia 的歌聲逐漸遠去，您與 Keith 逐漸清醒。,,,
d24302,confirm,,您感到：,r24300,r24301,
d24303,text,,"【Keith】：
呼，剛剛好像睡了一場好覺，勇者 $username 您還好嗎？",,,
d24304,text,,您搖了搖頭，與 Keith 一同朝著下一個目的地出發。,,,
d25000,text,,妖魔領地的南部，有一塊暗黑的土地。那是傳聞已久的禁忌森林，許多恐怖的傳聞曾由此出沒。您與 Keith 討論之後，決定在森林中找尋水晶。,,,
d25001,text,,與一般的森林不同，這裡的樹似乎並不需要水分來存活。然而，這些樹的樹葉並非是青翠的綠色，而是暗淡的灰與黑色。路上荊棘密布，只能靠您小心翼翼地走在安全的道路上，以及 Keith 時不時用狼牙棒來開路，才能讓你們走得較為順暢。但過了許久，卻仍然不見藍水晶的蹤跡。,,,
d25002,text,,Keith 在前面拿著狼牙棒開道，突然，您聽見了很大的「轟隆隆」聲響。只見 Keith 的狼牙棒上插著一個大蜂窩，Keith 被困在憤怒的蜜蜂群裡，無法脫困。,,,
d25003,text,,"【Keith】：
啊啊啊啊!!! 勇者 $username 救命啊！",,,
d25004,text,,"【？？？】：
嘎嘎嘎嘎，終於有人掉入了我的陷阱！",,,
d25005,text,,您轉過頭來，看見一只粉紅色的小妖精正笑嘻嘻地看著你們，手上正拿著明晃晃的藍寶石，正是您遍尋不獲的藍水晶。,,,
d25006,text,,"【Keith】：
他是我們領地內的搗蛋鬼 Fresia，專門愛捉弄人和開玩笑！一定是他把蜂窩放在附近，讓我故意打到的！勇者 $username 您先別管我，先把水晶拿到手！",,,
d25007,confirm,,您…,r25000,r25001,
d25008,text,,"【Fresia】：
沒用的，你們已經惹怒了妖魔領地內最惡名昭彰的「虎狼巨蜂」，現在Keith 已經陷入了他們的「巨蜂囚籠」！囚籠內有嚴密的防護層，除非你有更為強大的咒語來破除他，要不然你永遠都救不到他，更不可能從我手上拿到水晶！嘎嘎嘎嘎……",,,
d25009,confirm,,您決定...,r25002,r25003,
d25010,text,,"【Fresia】：
我當然知道該怎麼打破囚籠，但我為什麼要幫你呢？好不容易有人來陪我玩了，你就慢慢地打破囚籠吧！我先去把水晶藏起來咯嘻嘻嘻……",,,
d25011,text,,虎狼巨蜂的囚籠雖然嚴密，但Keith 暫時並無生命之憂。您從巨蜂的飛行方式，看出了一絲規律，似乎是一個中文字，他的意思是…,,,
d25100,text,,您念出了這個咒語，「啵」的一聲，囚籠外的防護層逐漸瓦解，巨蜂也慢慢散去。Fresia 頓時覺得大難臨頭。,,,
d25101,text,,"【Fresia】：
勇者 $username ，你、你破壞了我的玩具，給我記著！",,,
d25102,text,,Fresia 邊說邊跑，連水晶都不顧，驚慌失措地逃走了。,,,
d25103,text,,"【Keith】：
勇者 $username 您真厲害！這就是我們想要找的水晶啊！感謝您救了我！",,,
d25104,confirm,,您…,r25100,r25101,
d25105,text,,"【Keith】：
走吧，我們繼續去尋找下一個藍水晶！",,,
d25200,text,,"【Fresia】：
MUAHAHAHA，我感覺囚籠越來越堅固了！你是不是想要把 Keith 一直困在這邊啊？",,,
d25201,confirm,,您想說…,r25200,r25201,
d25202,text,,"【Keith】：
勇者 $username 沒關係，您慢慢想，咒語是不是另外一個意思？",,,
d25300,text,,"【Fresia】：
哈哈哈，看來你的法力不夠強啊！這樣都不好玩的，我走啦拜拜！",,,
d25301,text,,Fresia 把虎狼巨蜂的咒語去掉，把Keith 放出來，但也帶著藍水晶離開了。,,,
d25302,confirm,,您覺得…,r25300,r25301,
d25303,text,,"【Keith】：
沒關係，勇者 $username 振作起來！接下來還有機會能夠找到足夠的藍水晶！我們一起加油吧！",,,
d26000,text,,時間緊迫，您與 Keith 十分緊張地穿梭在領主的城堡當中，就連一磚一瓦都不放過，恨不得把城堡都反轉過來。,,,
d26001,text,,在仔細敲打著牆上的磚頭時，您聽到了牆後傳來一陣回音。,,,
d26002,text,,"【Keith】：
咦？難道牆後有一條通道？",,,
d26003,text,,您與 Keith 正研究著該如何走進這條通道時，突然裡面傳來細微的哭聲。,,,
d26004,confirm,,您決定：,r26000,r26001,
d26005,text,,牆上的磚頭猶如被施了神奇的魔法，「轟隆隆」地朝外轉開了，露出了裡面的一條幽靜的小通道，而在通道的盡頭坐著一只全身雪白的人型怪物。,,,
d26006,text,,"【Keith】：
這不是我們領地內雪怪將軍的兒子 Yerman 嗎？你怎麼坐在這裡啊？",,,
d26007,text,,"【Yerman】：
嗚……嗚嗚嗚……",,,
d26008,confirm,,您：,r26002,r26003,
d26009,text,,"【Yerman】：
我爸爸把我的房間鎖上了，留下了一封信，但我看不懂，進不去我的房間……嗚嗚嗚……",,,
d26010,text,,Keith 把插在門縫的信抽出，看了看上面寫的文字。,,,
d26011,text,,"【Keith】：
這個我也看不懂耶，勇者 $username ，您能夠幫幫他嗎？",,,
d26012,text,,您接過那一張紙，信中呈現的是……,,,
d26100,text,,「叮鈴」！「嘎噠」！,,,
d26101,text,,伴隨著響亮的鈴聲，房門也自然地開啟。Yerman 不再哭泣，高興地在房間裡跳躍，讓房間內都開始下雪。,,,
d26102,text,,"【Yerman】：
啊對也，我忘了我能夠穿牆，我爸應該是不想讓其他人進來，才放這個關卡……",,,
d26103,text,,您往房裡四下一看，發現桌上正放著一個晶瑩剔透的藍水晶，正閃閃發光。,,,
d26104,text,,"【Yerman】：
對了，我爸把門鎖上，正是為了要保護這塊水晶，不被人偷走！勇者 $username ，您能夠把這塊水晶交給領主大人嗎？",,,
d26105,confirm,,您說道：,r26100,r26101,
d26106,text,,您與 Keith 把珍貴的綠水晶收好，留下興高采烈的 Yerman，繼續前往下一個目的地。,,,
d26200,text,,房門發出了猶如生鏽般的「嘎吱嘎吱」聲，但門始終未開。,,,
d26201,text,,"【Yerman】：
怎麼辦怎麼辦，我好像忘了放在房間內很重要的東西，我很急著要進入房間……嗚嗚嗚……",,,
d26202,text,,Yerman 開始嚎啕大哭，您怎麼勸都勸不住。,,,
d26203,text,,"【Keith】：
勇者 $username ，要不然您再試試看多解一次，讓他能趕快進入房間？",,,
d26300,text,,「喀琅」！房門發出了沉重的鎖門聲，通道也開始緩緩關閉。,,,
d26301,text,,"【Keith】：
糟糕！勇者 $username ，我們先趕快跑吧，要不然就會被困在這邊！",,,
d26302,text,,此刻的您決定：,r26300,r26301,
d26303,text,,通道已幾乎完全關閉，Keith 拉著您趕忙離開通道，留下依然在哭泣的 Yerman，等待著他父親的歸來。,,,
d27000,text,,您與 Keith 分析了水之晶鑽的掉落軌跡，認為很有可能會掉到城堡的地底內部，因此您與Keith趕緊到城堡內的地下道去探個究竟。,,,
d27001,text,,由於鮮少有人進入，地下道內充斥著濃厚的潮濕味以及淡淡的霉味。看著周圍泛黃的牆壁，踩在濕漉漉的地板，聽著滴答的水聲，感受著周圍陰森的風，您不禁缩了缩肩膀。,,,
d27002,text,,突然，您聽見了「啪嗒，啪嗒」的聲音，轉角處似乎有巨大的影子，正緩緩地向你走來。,,,
d27003,text,,您與 Keith 踩著緩慢的腳步走到轉角處，看見一個人頭、獅身、有著巨大翅膀的怪物在瞪著你。,,,
d27004,confirm,,您：,r27000,r27001,
d27005,text,,"【Keith】：
勇者 $username ，這是我們領主養的貓，牠叫 Cheshire。",,,
d27006,text,,"【Cheshire】：
喵。你可以叫我 Cheshire 大人。",,,
d27007,confirm,,您：,r27002,r27003,
d27008,text,,"【Keith】：
Cheshire，你知道兩天前發生的戰爭嗎？",,,
d27009,text,,"【Cheshire】：
我知道。",,,
d27010,text,,"【Keith】：
你為什麼沒有一起參戰呢？",,,
d27011,text,,"【Cheshire】：
因為我太懶了。而且我只是一只貓。喵。",,,
d27012,text,,您下定決心，想要趕快離開這只無聊的貓時，突然看到牠正在把玩的藍色小物。您暗示 Keith，請他幫忙看一看，是不是你們要找的藍水晶。,,,
d27013,text,,"【Keith】：
Cheshire 大人，可以給我們看看你爪下的玩具嗎？",,,
d27014,text,,"【Cheshire】：
不可以。",,,
d27015,confirm,,您只能：,r27004,r27005,
d27016,text,,Cheshire 罕見地露出了羞澀的面貌，並說道：,,,
d27017,text,,"【Cheshire】：
「如，如果你們幫我看看這本書在說什麼的話，我就考慮把這塊水晶給你們！」 ",,,
d27018,text,,Cheshire 手中幻化出一本神秘的書，上面寫到：,,,
d27100,text,,Cheshire 眨著閃亮亮的眼睛看著您，心裡升起無限崇敬之意。,,,
d27101,text,,"【Cheshire】：
勇者 $username 大人！請讓我跟隨你吧！隔壁小櫻跟我說，只要我會念這本書，就答應和我約會！您真的太厲害了！",,,
d27102,confirm,,您覺得Cheshire 太無聊了，因此您：,r27100,r27101,
d27103,text,,Keith 從 Cheshire 手中拿走藍水晶後，不管Cheshire 在後面如何呼喚您，馬上帶您去下一個目的地。,,,
d27200,text,,"【Cheshire】：
咦？是這個意思嗎？我以為這是隔壁小櫻寫給我的情書……",,,
d27201,text,,Cheshire 無精打采地把玩著藍水晶，眺望著遠方，應該是在想念小櫻。,,,
d27202,text,,"【Keith】：
勇者 $username ，看在牠那麼癡情的份上，您要不要再試著幫牠解答多一次？",,,
d27300,text,,"【Cheshire】：
好像也不是這個意思…… 唉，隔壁小櫻說如果我都看不懂這本書在講什麼的話，就不再跟我見面……我看我還是把這塊藍水晶送給牠，當作賠罪好了……",,,
d27301,text,,Cheshire 拿著藍水晶，沮喪地離開了。,,,
d27302,text,,"【Keith】：
勇者 $username ，看來 Cheshire 真的很在乎小櫻…… 我們再去下一個地方找找看吧！",,,